"","Kingdom","Phylum","Class","Order","Family","Genus","Species","BNW-DC","BNW-PC1","BNW-PC2","BNW-PC3","BNW-PC4","BNW-SI","BNW-ST","SHNW-DC1","SHNW-DC3","SHNW-DSI","SHNW-PC1","SHNW-PC2","SHNW-PC3","SHNW-PSI","SHNW-ST"
"06affe4d40cd504d57af0931c8745600","d__Bacteria","Armatimonadota","uncultured","uncultured","uncultured",NA,NA,2.99631880832121e-05,0,0,0,2.26202549302731e-05,0,0,0,0,0,0,0,0,0,0
"c674ff1c3f5321a751a979c5630d8be4","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae",NA,NA,8.56091088091773e-06,0.000444150811408014,5.39275876945541e-05,0,0,0,0,0,0,0,0,0,0,0,0
"2320f8e2a5c4fb367a64bf8bf2ce822c","d__Bacteria","Verrucomicrobiota","Lentisphaeria","Oligosphaerales","Oligosphaeraceae",NA,NA,0.00011129184145193,0,0,4.62879923161933e-05,2.63902974186519e-05,0,0,0.000766668599444649,0.00021403522251431,0,0,0,0.000761998739138777,0,0
"dc61a5e6b180d1e91ee91fa99fc27e6b","d__Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","Victivallaceae",NA,NA,0.00282938104614331,0,0,0.000468665922201457,0.00155702754770046,0,0,0.00114033900925801,0.00058722484125721,0,0,0,0.000783926760408958,0,0
"cda9d9c1baee558e44bb641fbb53daf9","d__Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","vadinBE97",NA,NA,0.000856091088091773,0,0,0.000109933981750959,0.000482565438512492,0,0,0,0,0,0,0,0,0,0
"a068c43ba850bb6b3885f83abe13ce7c","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA,4.28045544045886e-05,0,0,4.05019932766691e-05,6.03206798140615e-05,0,0,0,0,0,0,0,0,0,0
"babf6c8ca2bd8a0f7146c0f53c406ef9","d__Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000310263724165541
"843edf237bd6389c77353dba43806749","d__Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017014462292949
"2cb5e417692ad7d0a4b95f817fd50128","d__Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100085072311465
"193073106fd8e96fc2ba348b5dc1cade","d__Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)",NA,NA,0,0,0,0,0,0,0.000160673543494328,0,0,0,0,0,0,0,0
"90e4d3d3633d586f4a27e0fceef0c852","d__Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000520442376019617
"0cb82d24f35f1279b1d17af58804d728","d__Bacteria","Desulfobacterota","Desulfuromonadia","Bradymonadales","Bradymonadales",NA,NA,0.00033815597979625,0,0.000265489662496267,0.00252269558123253,0.000263902974186519,0,0,0.00025126113763312,0.000142690148342873,0,0,0,0.000142532138256174,0,0
"489d59ab5b5dd6109dc0fbe5dc2ea67f","d__Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","uncultured",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00037031476755242
"8d813983c99a3a983215e73884194b40","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110093579542611
"6cfb07ba294c1e441c39986fa8725715","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","p-251-o5",NA,NA,0.0443369574522729,0.000582947939973018,0.00186257591345037,0.0364344359518836,0.0723885858193622,0,8.03367717471641e-05,0.00139160014689113,6.03689089142926e-05,1.94238874968436e-05,0.0105485837217641,0.00377061665813492,0.00394704382863251,0,2.0017014462293e-05
"624f616ed89e11a3f55df295f75ccd73","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales",NA,NA,NA,0.0117755329167023,0.079480787701464,0.0919423887432383,0.0298499690449051,0.014936908338957,0.000588444422650207,0.00350268324817636,0.0405174690916588,0.00992245339245828,3.23731458280727e-05,0.0641376837576192,0.128519346259973,0.121185209549653,2.25296264587933e-05,7.00595506180253e-05
"ea45f6fbf8a04cd41b6513fe05f0146f","d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae",NA,NA,0,0,0,5.78599903952416e-06,0,0,0,0.021215459646817,0.0104932139858298,0,0,0,0.00734040512019297,0,0.00134113996897363
"133fd1cc5b525b7edd3936a089795a73","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rs-E47_termite_group",NA,NA,0,2.22075405704007e-05,2.90379318355292e-05,0,0,0,0,0,0,0,0,0,0,0,0
